112.36.80.41 - - [02/Feb/2019:21:06:53 +0800] "GET /bundles/kibana.style.css?v=15653 HTTP/1.1" 200 41206 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:06:53 +0800] "GET /bundles/commons.style.css?v=15653 HTTP/1.1" 200 37098 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:06:53 +0800] "GET /ui/favicons/favicon.ico HTTP/1.1" 200 2157 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:06:53 +0800] "GET /bundles/commons.bundle.js?v=15653 HTTP/1.1" 200 333861 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:05 +0800] "GET /bundles/kibana.bundle.js?v=15653 HTTP/1.1" 200 1531196 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:07 +0800] "GET /api/console/api_server?sense_version=%40%40SENSE_VERSION&apis=es_5_0 HTTP/1.1" 200 10526 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /api/saved_objects/?type=index-pattern&per_page=10000 HTTP/1.1" 200 85 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /plugins/kibana/assets/discover.svg HTTP/1.1" 200 232 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /plugins/kibana/assets/visualize.svg HTTP/1.1" 200 172 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /ui/fonts/open_sans/open_sans_v13_latin_regular.woff2 HTTP/1.1" 200 15572 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /plugins/kibana/assets/play-circle.svg HTTP/1.1" 200 180 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /bundles/0cebf3d61338c454670b1c5bdf5d6d8d.svg HTTP/1.1" 200 1583 "http://kibana.thinkleak.com/bundles/commons.style.css?v=15653" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /plugins/kibana/assets/settings.svg HTTP/1.1" 200 313 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /plugins/timelion/icon.svg HTTP/1.1" 200 2793 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
